VARNAMES:,CID,CIDint,IDSURVEY,TYPE,FIELD,CUTFLAG_SNANA,ERRFLAG_FIT,zHEL,zHELERR,zCMB,zCMBERR,zHD,zHDERR,VPEC,VPECERR,MWEBV,HOST_NMATCH,HOST_NMATCH2,HOST_OBJID,HOST_ZPHOT,HOST_ZPHOTERR,HOST_ZSPEC,HOST_ZSPECERR,HOST_RA,HOST_DEC,HOST_ANGSEP,HOST_DDLR,HOST_CONFUSION,HOST_LOGMASS,HOST_LOGMASS_ERR,HOST_SBFLUXCAL_g,HOST_SBFLUXCAL_r,HOST_SBFLUXCAL_i,HOST_SBFLUXCAL_z,HOST_SBMAG_g,HOST_SBMAG_r,HOST_SBMAG_i,HOST_SBMAG_z,PKMJDINI,SNRMAX1,SNRMAX2,SNRMAX3,PKMJD,PKMJDERR,x1,x1ERR,c,cERR,mB,mBERR,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,NDOF,FITCHI2,FITPROB,RA,DEC,HOST_ANGSEP_2,TGAPMAX,TrestMIN,TrestMAX,FLUXCALMAX_g,SNRMAX_g,FLUXCALMAX_r,SNRMAX_r,FLUXCALMAX_i,SNRMAX_i,FLUXCALMAX_z,SNRMAX_z,HOSTGAL_LOGMASS,HOSTGAL_LOGMASS_ERR,HOST_LOGSFR,HOST_LOGSFR_ERR,HOST_LOGsSFR,HOST_COLOR,HOST_LOGsSFR_ERR,HOST_COLOR_ERR,PROB_SCONE,PROB_SNIRFV19,PROB_SNNDESCC,PROB_SNNJ17,PROB_SNNV19,PROB_UNITY,CUTMASK,MU,MUMODEL,MUERR,MUERR_RENORM,MUERR_RAW,MUERR_VPEC,MURES,MUPULL,M0DIF,M0DIFERR,CHI2,biasCor_nevt,biasCor_mu,biasCorErr_mu,biasCor_mB,biasCor_x1,biasCor_c,biasCor_muCOVSCALE,IDSAMPLE,IZBIN,mu,delta_mu,LOG_OII,LOG_OII_ERR,SPECZ
SN:,1255657,1255657,10,0,X2,3,0,0.59011,0.001,0.58881,0.001,0.58881,0.00188,0,300,0.0209817,1,2,15643,-9,-9,0.5901,0.001,35.013008,-6.038765,0.378,0.541,-3.95451,9.24,0.048,3.64,7.6,10.75,12.62,26.09725,25.29797,24.92148,24.74735,56567.1484,8.29308,8.13722,5.79056,56561.1875,1.0686,0.10707,0.88368,-0.0599777,0.0839281,23.50616,0.0994082,7.10451e-06,6.50477e-07,0.00908951,-3.99796e-07,-1.1884e-08,37,38.20788,0.41438,35.013,-6.0389,0.378,8.1976,-11.3052,42.0789,54.911,-999.0,69.26,8.1372,61.66,8.2931,56.974,5.7906,9.209,0.094,1.103,1.115,-8.106,0.243,1.11896,-999,0.9641,0.9788,0.9997,0.9996,0.9988,1,0,43.1156,42.67833,0.31199,0.2948,0.291,0.0045,0.4618,1.48,-0.0245,0.0127,2.19,0,-0.0534,0.0,0.0,0.0,0.0,1.0,2,14,43.115606344941,0.46367192307259586,1.855467074516173,0.1108162465147143,0.5901100039482117
SN:,1617068,1617068,10,0,X3,3,0,0.9323,0.001,0.93075,0.001,0.93075,0.00218,0,300,0.0206651,1,4,109948,-9,-9,0.9323,0.001,36.283894,-4.507851,0.375,0.378,-4.18287,11.075,0.012,0.95,6.84,20.2,41.59,27.5,25.41236,24.23662,23.45253,57739.0664,12.88251,10.16993,-99.0,57732.9258,1.2395,-0.0977269,0.89262,0.0606474,0.13676,24.34751,0.0689097,3.27338e-06,2.07755e-07,0.0126953,-1.25221e-07,3.04843e-10,15,13.24074,0.58371,36.283798,-4.5078,0.375,5.6745,-12.8349,30.0726,4.245,-999.0,50.24,-999.0,25.067,12.8825,32.643,10.1699,11.08,0.095,0.9,0.683,-10.18,1.416,0.68958,-999,0.9664,0.9782,0.9999,0.9949,0.9961,1,0,43.62234,43.89125,0.42654,0.4274,0.4115,0.0031,-0.287,-0.673,0.018,0.0592,0.45,0,-0.0802,0.0,0.0,0.0,0.0,1.0,0,18,43.622323665051,-0.2850102154070271,0.633497096542131,0.170475181533987,0.9323899745941162
SN:,1567044,1567044,10,0,C2,3,0,0.42324,0.001,0.42273,0.001,0.42273,0.00174,0,300,0.0109209,1,1,107358,-9,-9,0.4232,0.001,54.657379,-28.392817,0.45,0.416,-9.0,10.792,0.088,21.8,112.74,200.78,279.13,24.15386,22.3698,21.7432,21.38548,57720.0508,17.35506,13.90609,9.03866,57721.0039,0.4984,-1.63577,0.38989,0.0320532,0.0500074,22.59449,0.0510068,1.64514e-05,7.7287e-07,0.00229619,-1.1663e-07,-2.95494e-08,43,36.00304,0.76633,54.6572,-28.392799,0.45,6.9494,-13.896,44.2926,55.695,-999.0,108.95,17.3551,112.86,13.9061,106.22,9.0387,10.756,0.054,0.402,10.402,-10.354,1.446,10.40214,-999,0.9761,0.9621,0.9958,0.9999,0.9999,1,0,41.6321,41.81753,0.16754,0.1557,0.1241,0.006,-0.1998,-1.193,0.0144,0.013,1.42,0,-0.0096,0.0,0.0,0.0,0.0,1.0,4,12,41.63206589614399,-0.19900409810325925,0.4228693005857163,0.2351005276826207,0.4232400059700012
SN:,1559048,1559048,10,0,X3,3,0,0.98157,0.001,0.98,0.001,0.98,0.00222,0,300,0.0238493,1,3,106840,-9,-9,0.9816,0.001,36.981483,-4.575696,0.435,0.465,-3.3736,11.23,0.027,1.8,9.86,25.97,58.44,26.86182,25.01531,23.96382,23.08323,57708.125,11.99123,5.15917,-99.0,57717.2852,1.1366,-0.873356,0.63698,-0.259459,0.15589,24.53773,0.0766566,2.7473e-06,1.93969e-07,0.0124411,-6.41789e-08,1.33416e-08,22,17.0056,0.76305,36.9814,-4.5756,0.435,5.5354,-11.6976,37.2199,15.136,-999.0,14.745,-999.0,26.254,11.9912,21.735,5.1592,11.264,0.076,0.898,0.004,-10.366,0.989,0.0761052,-999,0.9978,0.6907,0.9999,0.9976,1.0,1,0,44.57938,44.02891,0.48821,0.4892,0.4751,0.0029,0.5324,1.091,0.018,0.0592,1.19,0,-0.0977,0.0,0.0,0.0,0.0,1.0,0,18,44.57941105079001,0.5344123919171366,0.4522797512799528,0.1617903569808433,0.9823899865150452
SN:,1304991,1304991,10,0,S1,3,0,0.65984,0.001,0.65866,0.001,0.65866,0.00194,0,300,0.0536813,1,2,32055,-9,-9,0.6598,0.001,42.527279,-0.848549,0.958,1.268,-2.70607,9.303,0.042,1.9,5.36,7.8,9.14,26.80312,25.67709,25.26976,25.09764,56973.1367,13.7335,11.72807,8.98111,56958.0898,1.1734,0.21659,0.69482,-0.0446848,0.0664495,23.37274,0.0620308,8.03346e-06,4.58971e-07,0.00609776,-1.94393e-07,-1.08392e-08,34,45.59201,0.0884056,42.527199,-0.8488,0.958,7.785,-8.9594,41.0102,46.194,-999.0,52.212,13.7335,58.832,11.7281,60.78,8.9811,9.273,0.139,1.02,0.796,-8.253,0.053,0.80805,-999,0.9767,0.9675,0.9992,0.9991,0.9916,1,0,42.97696,42.9729,0.24067,0.2269,0.2128,0.0041,-0.0009,-0.004,0.0049,0.0134,0.0,0,-0.0724,0.0,0.0,0.0,0.0,1.0,3,15,42.976909818483996,0.0007799791492999475,1.9110969164873235,0.1708493383662599,0.6598399877548218
SN:,1335854,1335854,10,0,C1,3,0,0.57927,0.001,0.57869,0.001,0.57869,0.00187,0,300,0.0098277,1,2,41282,-9,-9,0.5793,0.001,54.311581,-27.683239,0.644,0.877,-3.4096,9.664,0.015,5.36,14.35,19.69,25.25,25.67709,24.60787,24.26439,23.99435,57345.3164,11.68581,10.87953,6.84414,57343.6133,0.6953,1.02499,0.59537,0.15299,0.0588663,23.37117,0.0653807,8.04513e-06,4.8446e-07,0.0056883,-2.09554e-07,-1.54805e-08,37,30.57921,0.76294,54.311699,-27.6831,0.644,6.3963,-11.7093,40.8144,28.779,-999.0,56.547,11.6858,77.744,10.8795,61.727,6.8441,9.674,0.043,1.33,0.356,-8.344,0.446,0.35859,-999,0.9822,0.8585,0.9939,0.9985,0.9994,1,0,42.52738,42.63192,0.21292,0.2012,0.1808,0.0046,-0.08,-0.376,-0.0245,0.0127,0.14,0,-0.0348,0.0,0.0,0.0,0.0,1.0,4,14,42.527372932999995,-0.07913188694602269,1.2747927226632418,0.1559997092031336,0.5792700052261353
SN:,1335885,1335885,10,0,C1,3,0,0.39982,0.001,0.39932,0.001,0.39932,0.00172,0,300,0.0108578,1,2,41507,-9,-9,0.3998,0.001,54.912159,-27.22237,0.799,0.873,-3.211,10.836,0.011,24.03,83.68,158.23,225.82001,24.04811,22.69345,22.00178,21.61559,57345.3125,15.16412,12.82396,10.43043,57346.4336,0.5044,0.38972,0.46229,0.21235,0.0565622,22.81353,0.0678588,1.34459e-05,8.40372e-07,0.00483551,-2.18219e-07,-3.5514e-08,34,30.93305,0.61873,54.911999,-27.2222,0.799,7.2163,-12.3007,44.0319,41.083,-999.0,100.08,15.1641,91.289,12.824,94.792,10.4304,10.82,0.02,1.141,0.277,-9.679,1.185,0.27772,-999,0.9971,0.6414,1.0,0.9995,0.9999,1,0,41.67849,41.67169,0.18089,0.1788,0.1416,0.0063,0.0113,0.062,-0.0045,0.0142,0.0,0,-0.0064,0.0,0.0,0.0,0.0,1.0,4,11,41.6784709961,0.012134485462617306,1.213023806781493,0.0321964421957747,0.3998199999332428
SN:,1343542,1343542,10,0,E1,3,0,0.78644,0.001,0.78512,0.001,0.78512,0.00205,0,300,0.00536646,2,3,44180,-9,-9,0.7864,0.001,8.073568,-43.21093,1.149,1.476,-1.46814,10.728,0.037,1.95,8.55,25.82,41.2,26.77491,25.17008,23.97011,23.46276,57386.0469,11.18595,9.90823,7.16218,57387.2578,1.1344,-0.722876,0.90885,-0.0826903,0.0714569,23.36671,0.0639229,8.07819e-06,4.75604e-07,0.0185676,-2.98693e-07,-2.88091e-09,20,34.94445,0.0204022,8.0731,-43.210899,1.149,4.4826,-12.4374,11.0774,16.662,-999.0,52.624,9.9082,81.976,11.1859,70.229,7.1622,10.727,0.123,-0.437,6.874,-11.164,1.177,6.8751,-999,0.9879,0.9833,0.9997,0.9956,0.9997,1,0,42.95903,43.43795,0.26833,0.2589,0.2436,0.0035,-0.4264,-1.589,-0.0525,0.0242,2.53,0,-0.1063,0.0,0.0,0.0,0.0,1.0,4,17,42.958992075318996,-0.4246975380664395,0.6167734875183011,0.2181440430743658,0.7864400148391724
SN:,1331344,1331344,10,0,X1,3,0,0.55122,0.001,0.54993,0.001,0.54993,0.00185,0,300,0.0189793,1,2,39534,-9,-9,0.5512,0.001,34.271313,-5.076369,0.093,0.145,-5.39858,9.87,0.023,10.35,25.02,37.36,43.32,24.96265,24.00428,23.56898,23.40828,57305.2852,12.16636,10.25436,9.26326,57301.2617,0.9538,0.44271,0.66442,-0.139596,0.0697015,22.99668,0.0693865,1.13587e-05,7.25902e-07,0.00751274,-3.10638e-07,-2.59322e-08,40,56.36855,0.044621,34.271301,-5.0764,0.093,7.0534,-14.8648,41.1269,94.097,-999.0,160.98,12.1664,92.618,9.2633,80.322,10.2544,9.861,0.111,0.295,0.02,-9.566,0.461,0.11279,-999,0.9978,0.8661,1.0,0.999,1.0,1,0,42.86971,42.49961,0.23468,0.2218,0.206,0.0048,0.3946,1.682,-0.0245,0.0127,2.83,0,-0.0465,0.0,0.0,0.0,0.0,1.0,2,14,42.86966893398,0.3964778805782174,1.5088001541377605,0.0798970936460465,0.5512199997901917
SN:,1338665,1338665,10,0,X3,3,0,0.72199,0.001,0.72062,0.001,0.72062,0.00199,0,300,0.0250654,1,2,42651,-9,-9,0.722,0.001,36.616467,-5.137823,1.165,1.267,-2.84627,10.694,0.013,5.69,15.89,32.51,45.09,25.61222,24.49719,23.71996,23.3648,57366.0742,20.30947,16.71373,9.70834,57366.207,0.0449,-0.239693,0.5855,0.15706,0.0565708,24.2044,0.0454509,3.73456e-06,1.56336e-07,0.00582761,-5.38738e-08,-2.87604e-09,19,12.37334,0.86905,36.616798,-5.138,1.165,5.814,-12.236,23.1677,10.644,-999.0,21.199,16.7137,30.294,20.3095,31.178,9.7083,10.689,0.053,0.904,0.166,-9.785,0.947,0.17426,-999,0.4283,0.892,0.9998,0.9994,0.9962,1,0,43.12139,43.21069,0.21003,0.2002,0.1774,0.0038,-0.0918,-0.437,0.0025,0.0159,0.19,0,-0.0078,0.0,0.0,0.0,0.0,1.0,0,16,43.12138423241,-0.08993538128512313,1.1711274872167456,0.1021540869531349,0.7219899892807007
